 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148949       Ave. chord =    0.136563
     CLsurf  =   1.10000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.63896
     CDsurf  =   0.04743     Cnsurf  =   0.00000
     CDisurf =   0.04743     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.10038     CDsurf  =   0.04745
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.5453   0.0131   0.0000   0.0033   0.1035   2.8147   0.3220  -0.4482   0.0000   0.0438  -0.0040    0.114
     2  -0.5447   0.0162   0.0000   0.0097   0.1032   6.2141   0.6913  -0.5492   0.0000   0.0740  -0.0160    0.143
     3  -0.5436   0.0216   0.0000   0.0162   0.1051   4.5544   0.8177  -0.3764   0.0000   0.0642  -0.0355    0.171
     4  -0.5420   0.0276   0.0001   0.0226   0.1061   3.4729   0.8686  -0.2595   0.0000   0.0501  -0.0547    0.192
     5  -0.5398   0.0341   0.0001   0.0290   0.1066   2.6329   0.8894  -0.1772   0.0000   0.0395  -0.0744    0.206
     6  -0.5371   0.0406   0.0001   0.0354   0.1065   2.1298   0.9007  -0.1221   0.0000   0.0321  -0.0924    0.214
     7  -0.5338   0.0472   0.0002   0.0417   0.1062   1.7997   0.9072  -0.0830   0.0000   0.0267  -0.1090    0.221
     8  -0.5300   0.0537   0.0002   0.0480   0.1058   1.5809   0.9118  -0.0542   0.0000   0.0228  -0.1240    0.225
     9  -0.5256   0.0602   0.0003   0.0541   0.1053   1.4266   0.9157  -0.0325   0.0000   0.0198  -0.1377    0.228
    10  -0.5208   0.0665   0.0003   0.0602   0.1047   1.3186   0.9194  -0.0157   0.0000   0.0175  -0.1498    0.231
    11  -0.5154   0.0727   0.0004   0.0662   0.1043   1.2391   0.9231  -0.0025   0.0000   0.0156  -0.1608    0.233
    12  -0.5094   0.0787   0.0005   0.0722   0.1038   1.1781   0.9270   0.0078   0.0000   0.0140  -0.1708    0.235
    13  -0.5030   0.0845   0.0006   0.0780   0.1033   1.1348   0.9311   0.0161   0.0000   0.0127  -0.1795    0.236
    14  -0.4961   0.0902   0.0006   0.0837   0.1028   1.1010   0.9355   0.0231   0.0000   0.0116  -0.1873    0.238
    15  -0.4886   0.0956   0.0007   0.0893   0.1024   1.0739   0.9402   0.0288   0.0000   0.0107  -0.1946    0.239
    16  -0.4807   0.1009   0.0008   0.0947   0.1019   1.0560   0.9452   0.0334   0.0000   0.0099  -0.2009    0.239
    17  -0.4723   0.1059   0.0009   0.1001   0.1013   1.0410   0.9506   0.0374   0.0000   0.0092  -0.2068    0.240
    18  -0.4634   0.1107   0.0010   0.1053   0.1008   1.0309   0.9563   0.0406   0.0000   0.0086  -0.2121    0.241
    19  -0.4540   0.1153   0.0011   0.1104   0.1002   1.0234   0.9623   0.0435   0.0000   0.0080  -0.2170    0.242
    20  -0.4442   0.1196   0.0012   0.1153   0.0996   1.0188   0.9687   0.0458   0.0000   0.0075  -0.2215    0.242
    21  -0.4340   0.1236   0.0013   0.1201   0.0990   1.0162   0.9754   0.0477   0.0000   0.0071  -0.2257    0.243
    22  -0.4233   0.1274   0.0014   0.1247   0.0984   1.0154   0.9824   0.0493   0.0000   0.0067  -0.2297    0.243
    23  -0.4121   0.1310   0.0015   0.1291   0.0978   1.0167   0.9897   0.0505   0.0000   0.0064  -0.2333    0.244
    24  -0.4006   0.1343   0.0016   0.1334   0.0971   1.0189   0.9973   0.0519   0.0000   0.0060  -0.2368    0.244
    25  -0.3887   0.1374   0.0017   0.1376   0.0965   1.0225   1.0052   0.0528   0.0000   0.0058  -0.2402    0.244
    26  -0.3763   0.1402   0.0018   0.1415   0.0958   1.0271   1.0134   0.0536   0.0000   0.0055  -0.2434    0.245
    27  -0.3636   0.1427   0.0018   0.1453   0.0950   1.0326   1.0218   0.0541   0.0000   0.0052  -0.2465    0.245
    28  -0.3505   0.1450   0.0019   0.1489   0.0943   1.0387   1.0305   0.0547   0.0000   0.0050  -0.2495    0.245
    29  -0.3371   0.1471   0.0020   0.1523   0.0936   1.0456   1.0394   0.0551   0.0000   0.0048  -0.2525    0.245
    30  -0.3233   0.1489   0.0021   0.1555   0.0928   1.0533   1.0487   0.0554   0.0000   0.0046  -0.2554    0.246
    31  -0.3092   0.1505   0.0021   0.1586   0.0920   1.0613   1.0581   0.0556   0.0000   0.0044  -0.2583    0.246
    32  -0.2948   0.1518   0.0022   0.1615   0.0912   1.0701   1.0678   0.0557   0.0000   0.0043  -0.2611    0.246
    33  -0.2801   0.1529   0.0023   0.1642   0.0904   1.0792   1.0777   0.0557   0.0000   0.0041  -0.2639    0.246
    34  -0.2651   0.1538   0.0023   0.1667   0.0896   1.0887   1.0878   0.0557   0.0000   0.0040  -0.2667    0.246
    35  -0.2499   0.1545   0.0024   0.1690   0.0888   1.0986   1.0982   0.0555   0.0000   0.0039  -0.2694    0.246
    36  -0.2344   0.1550   0.0024   0.1711   0.0879   1.1089   1.1087   0.0553   0.0000   0.0037  -0.2722    0.247
    37  -0.2186   0.1553   0.0025   0.1731   0.0870   1.1195   1.1195   0.0550   0.0000   0.0036  -0.2750    0.247
    38  -0.2027   0.1554   0.0025   0.1749   0.0862   1.1304   1.1304   0.0548   0.0000   0.0035  -0.2778    0.247
    39  -0.1865   0.1553   0.0025   0.1765   0.0853   1.1415   1.1415   0.0543   0.0000   0.0035  -0.2806    0.247
    40  -0.1702   0.1551   0.0026   0.1780   0.0845   1.1529   1.1528   0.0539   0.0000   0.0034  -0.2834    0.247
    41  -0.1536   0.1547   0.0026   0.1792   0.0837   1.1645   1.1642   0.0535   0.0000   0.0034  -0.2862    0.247
    42  -0.1370   0.1542   0.0026   0.1804   0.0828   1.1764   1.1759   0.0528   0.0000   0.0034  -0.2890    0.247
    43  -0.1201   0.1535   0.0026   0.1813   0.0821   1.1884   1.1877   0.0521   0.0000   0.0034  -0.2918    0.247
    44  -0.1032   0.1527   0.0026   0.1822   0.0813   1.2006   1.1996   0.0512   0.0000   0.0036  -0.2945    0.247
