 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148949       Ave. chord =    0.136563
     CLsurf  =   1.10000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.63896
     CDsurf  =   0.04743     Cnsurf  =   0.00000
     CDisurf =   0.04743     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.10038     CDsurf  =   0.04745
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    45  -0.0862   0.1517   0.0026   0.1828   0.0807   1.2128   1.2117   0.0502   0.0000   0.0038  -0.2972    0.247
    46  -0.0690   0.1507   0.0026   0.1834   0.0801   1.2253   1.2239   0.0488   0.0000   0.0041  -0.2997    0.247
    47  -0.0518   0.1496   0.0026   0.1838   0.0796   1.2377   1.2361   0.0470   0.0000   0.0047  -0.3020    0.246
    48  -0.0346   0.1484   0.0026   0.1841   0.0792   1.2501   1.2483   0.0441   0.0000   0.0057  -0.3039    0.245
    49  -0.0173   0.1472   0.0025   0.1842   0.0789   1.2624   1.2606   0.0387   0.0000   0.0071  -0.3053    0.244
    50  -0.0043   0.1466   0.0013   0.1843   0.0787   1.2670   1.2670   0.0335   0.0000   0.0080  -0.3063    0.244
    51   0.0043   0.1466   0.0013   0.1843   0.0787   1.2670   1.2670   0.0335   0.0000   0.0080  -0.3063    0.244
    52   0.0173   0.1472   0.0025   0.1842   0.0789   1.2624   1.2606   0.0386   0.0000   0.0071  -0.3053    0.244
    53   0.0346   0.1484   0.0026   0.1841   0.0792   1.2501   1.2483   0.0441   0.0000   0.0057  -0.3039    0.245
    54   0.0518   0.1496   0.0026   0.1838   0.0796   1.2377   1.2360   0.0470   0.0000   0.0047  -0.3020    0.246
    55   0.0690   0.1507   0.0026   0.1834   0.0801   1.2253   1.2238   0.0488   0.0000   0.0041  -0.2997    0.247
    56   0.0862   0.1517   0.0026   0.1828   0.0807   1.2128   1.2117   0.0502   0.0000   0.0038  -0.2972    0.247
    57   0.1032   0.1527   0.0026   0.1822   0.0813   1.2006   1.1996   0.0512   0.0000   0.0036  -0.2945    0.247
    58   0.1201   0.1535   0.0026   0.1813   0.0821   1.1884   1.1877   0.0521   0.0000   0.0034  -0.2918    0.247
    59   0.1370   0.1542   0.0026   0.1804   0.0828   1.1764   1.1759   0.0528   0.0000   0.0034  -0.2890    0.247
    60   0.1536   0.1547   0.0026   0.1792   0.0837   1.1645   1.1642   0.0535   0.0000   0.0034  -0.2862    0.247
    61   0.1702   0.1551   0.0026   0.1780   0.0845   1.1529   1.1528   0.0540   0.0000   0.0034  -0.2834    0.247
    62   0.1865   0.1553   0.0025   0.1765   0.0853   1.1415   1.1415   0.0544   0.0000   0.0035  -0.2806    0.247
    63   0.2027   0.1554   0.0025   0.1749   0.0862   1.1304   1.1304   0.0548   0.0000   0.0035  -0.2778    0.247
    64   0.2186   0.1553   0.0025   0.1731   0.0870   1.1195   1.1195   0.0551   0.0000   0.0036  -0.2750    0.247
    65   0.2344   0.1550   0.0024   0.1711   0.0879   1.1089   1.1087   0.0553   0.0000   0.0037  -0.2722    0.247
    66   0.2499   0.1545   0.0024   0.1690   0.0888   1.0986   1.0981   0.0555   0.0000   0.0039  -0.2694    0.246
    67   0.2651   0.1538   0.0023   0.1667   0.0896   1.0887   1.0878   0.0557   0.0000   0.0040  -0.2667    0.246
    68   0.2801   0.1529   0.0023   0.1642   0.0904   1.0792   1.0777   0.0557   0.0000   0.0041  -0.2639    0.246
    69   0.2948   0.1518   0.0022   0.1615   0.0912   1.0701   1.0678   0.0557   0.0000   0.0043  -0.2610    0.246
    70   0.3092   0.1505   0.0021   0.1586   0.0920   1.0613   1.0581   0.0556   0.0000   0.0044  -0.2583    0.246
    71   0.3233   0.1489   0.0021   0.1555   0.0928   1.0533   1.0486   0.0554   0.0000   0.0046  -0.2554    0.246
    72   0.3371   0.1471   0.0020   0.1523   0.0936   1.0456   1.0394   0.0552   0.0000   0.0048  -0.2525    0.245
    73   0.3505   0.1450   0.0019   0.1489   0.0943   1.0387   1.0305   0.0548   0.0000   0.0050  -0.2495    0.245
    74   0.3636   0.1427   0.0018   0.1453   0.0950   1.0325   1.0218   0.0543   0.0000   0.0052  -0.2465    0.245
    75   0.3763   0.1402   0.0018   0.1415   0.0958   1.0271   1.0133   0.0536   0.0000   0.0055  -0.2434    0.245
    76   0.3887   0.1374   0.0017   0.1375   0.0965   1.0225   1.0051   0.0528   0.0000   0.0058  -0.2402    0.244
    77   0.4006   0.1343   0.0016   0.1334   0.0971   1.0188   0.9972   0.0519   0.0000   0.0060  -0.2368    0.244
    78   0.4121   0.1310   0.0015   0.1291   0.0978   1.0167   0.9897   0.0505   0.0000   0.0064  -0.2333    0.244
    79   0.4233   0.1274   0.0014   0.1247   0.0984   1.0154   0.9824   0.0493   0.0000   0.0067  -0.2297    0.243
    80   0.4340   0.1236   0.0013   0.1201   0.0990   1.0162   0.9754   0.0477   0.0000   0.0071  -0.2257    0.243
    81   0.4442   0.1196   0.0012   0.1153   0.0996   1.0187   0.9687   0.0457   0.0000   0.0075  -0.2215    0.242
    82   0.4540   0.1153   0.0011   0.1104   0.1002   1.0234   0.9623   0.0435   0.0000   0.0080  -0.2170    0.242
    83   0.4634   0.1107   0.0010   0.1053   0.1008   1.0309   0.9563   0.0406   0.0000   0.0086  -0.2121    0.241
    84   0.4723   0.1059   0.0009   0.1001   0.1013   1.0409   0.9506   0.0374   0.0000   0.0092  -0.2068    0.240
    85   0.4807   0.1009   0.0008   0.0947   0.1019   1.0560   0.9452   0.0334   0.0000   0.0099  -0.2009    0.239
    86   0.4886   0.0956   0.0007   0.0893   0.1024   1.0738   0.9401   0.0288   0.0000   0.0107  -0.1946    0.239
    87   0.4961   0.0902   0.0006   0.0837   0.1029   1.1010   0.9354   0.0231   0.0000   0.0117  -0.1873    0.238
    88   0.5030   0.0845   0.0006   0.0780   0.1034   1.1348   0.9311   0.0161   0.0000   0.0127  -0.1794    0.236
    89   0.5094   0.0787   0.0005   0.0722   0.1039   1.1780   0.9270   0.0078   0.0000   0.0140  -0.1708    0.235
    90   0.5154   0.0727   0.0004   0.0662   0.1043   1.2391   0.9230  -0.0027   0.0000   0.0156  -0.1608    0.233
    91   0.5208   0.0665   0.0003   0.0602   0.1045   1.3184   0.9192  -0.0158   0.0000   0.0175  -0.1498    0.231
    92   0.5256   0.0602   0.0003   0.0541   0.1053   1.4264   0.9156  -0.0324   0.0000   0.0198  -0.1377    0.228
    93   0.5300   0.0537   0.0002   0.0480   0.1058   1.5808   0.9117  -0.0543   0.0000   0.0228  -0.1240    0.225
    94   0.5338   0.0472   0.0002   0.0417   0.1062   1.7995   0.9071  -0.0830   0.0000   0.0267  -0.1090    0.221
    95   0.5371   0.0406   0.0001   0.0354   0.1065   2.1297   0.9006  -0.1221   0.0000   0.0321  -0.0924    0.214
    96   0.5398   0.0341   0.0001   0.0290   0.1066   2.6326   0.8893  -0.1772   0.0000   0.0395  -0.0744    0.206
    97   0.5420   0.0276   0.0001   0.0226   0.1061   3.4724   0.8685  -0.2595   0.0000   0.0502  -0.0547    0.192
    98   0.5436   0.0216   0.0000   0.0162   0.1052   4.5531   0.8175  -0.3763   0.0000   0.0642  -0.0355    0.171
    99   0.5447   0.0162   0.0000   0.0097   0.1032   6.2104   0.6909  -0.5489   0.0000   0.0739  -0.0160    0.143
   100   0.5453   0.0131   0.0000   0.0033   0.1035   2.8112   0.3216  -0.4476   0.0000   0.0438  -0.0040    0.114
 ---------------------------------------------------------------
