 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148949       Ave. chord =    0.136563
     CLsurf  =   0.40000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.23444
     CDsurf  =   0.00627     Cnsurf  =   0.00000
     CDisurf =   0.00627     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.40014     CDsurf  =   0.00627
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.5453   0.0131   0.0000   0.0011   0.0297   0.9005   0.0837  -0.0499   0.0000   0.0147  -0.0013    0.075
     2  -0.5447   0.0162   0.0000   0.0033   0.0296   2.2382   0.2009  -0.0615   0.0000   0.0247  -0.0054    0.127
     3  -0.5436   0.0216   0.0000   0.0054   0.0303   1.5759   0.2517  -0.0425   0.0000   0.0214  -0.0119    0.165
     4  -0.5420   0.0276   0.0001   0.0076   0.0307   1.1840   0.2747  -0.0296   0.0000   0.0167  -0.0184    0.189
     5  -0.5398   0.0341   0.0001   0.0097   0.0309   0.8886   0.2860  -0.0205   0.0000   0.0131  -0.0250    0.204
     6  -0.5371   0.0406   0.0001   0.0119   0.0309   0.7159   0.2928  -0.0145   0.0000   0.0106  -0.0311    0.214
     7  -0.5338   0.0472   0.0002   0.0140   0.0309   0.6040   0.2972  -0.0101   0.0000   0.0088  -0.0367    0.220
     8  -0.5300   0.0537   0.0002   0.0161   0.0309   0.5306   0.3006  -0.0069   0.0000   0.0075  -0.0419    0.225
     9  -0.5256   0.0602   0.0003   0.0183   0.0308   0.4792   0.3034  -0.0045   0.0000   0.0065  -0.0466    0.229
    10  -0.5208   0.0665   0.0003   0.0203   0.0307   0.4435   0.3060  -0.0026   0.0000   0.0057  -0.0507    0.231
    11  -0.5154   0.0727   0.0004   0.0224   0.0307   0.4174   0.3084  -0.0011   0.0000   0.0051  -0.0546    0.234
    12  -0.5094   0.0787   0.0005   0.0245   0.0307   0.3976   0.3108   0.0001   0.0000   0.0045  -0.0581    0.235
    13  -0.5030   0.0845   0.0006   0.0265   0.0307   0.3838   0.3132   0.0010   0.0000   0.0041  -0.0611    0.237
    14  -0.4961   0.0902   0.0006   0.0285   0.0307   0.3732   0.3157   0.0019   0.0000   0.0037  -0.0639    0.238
    15  -0.4886   0.0956   0.0007   0.0304   0.0307   0.3648   0.3183   0.0025   0.0000   0.0034  -0.0666    0.239
    16  -0.4807   0.1009   0.0008   0.0324   0.0307   0.3597   0.3210   0.0031   0.0000   0.0032  -0.0689    0.240
    17  -0.4723   0.1059   0.0009   0.0343   0.0307   0.3555   0.3239   0.0036   0.0000   0.0029  -0.0711    0.241
    18  -0.4634   0.1107   0.0010   0.0362   0.0307   0.3530   0.3269   0.0040   0.0000   0.0027  -0.0731    0.242
    19  -0.4540   0.1153   0.0011   0.0380   0.0307   0.3515   0.3300   0.0044   0.0000   0.0025  -0.0750    0.242
    20  -0.4442   0.1196   0.0012   0.0399   0.0308   0.3509   0.3333   0.0047   0.0000   0.0024  -0.0768    0.243
    21  -0.4340   0.1236   0.0013   0.0416   0.0308   0.3512   0.3367   0.0050   0.0000   0.0022  -0.0785    0.243
    22  -0.4233   0.1274   0.0014   0.0434   0.0308   0.3520   0.3403   0.0053   0.0000   0.0021  -0.0801    0.244
    23  -0.4121   0.1310   0.0015   0.0451   0.0309   0.3536   0.3440   0.0055   0.0000   0.0020  -0.0816    0.244
    24  -0.4006   0.1343   0.0016   0.0467   0.0309   0.3556   0.3479   0.0057   0.0000   0.0019  -0.0831    0.244
    25  -0.3887   0.1374   0.0017   0.0483   0.0310   0.3581   0.3519   0.0059   0.0000   0.0018  -0.0846    0.245
    26  -0.3763   0.1402   0.0018   0.0499   0.0310   0.3610   0.3561   0.0061   0.0000   0.0018  -0.0860    0.245
    27  -0.3636   0.1427   0.0018   0.0514   0.0311   0.3643   0.3604   0.0062   0.0000   0.0017  -0.0874    0.245
    28  -0.3505   0.1450   0.0019   0.0529   0.0311   0.3678   0.3648   0.0064   0.0000   0.0016  -0.0888    0.246
    29  -0.3371   0.1471   0.0020   0.0543   0.0312   0.3717   0.3694   0.0065   0.0000   0.0016  -0.0902    0.246
    30  -0.3233   0.1489   0.0021   0.0557   0.0312   0.3758   0.3741   0.0066   0.0000   0.0015  -0.0916    0.246
    31  -0.3092   0.1505   0.0021   0.0570   0.0313   0.3802   0.3790   0.0068   0.0000   0.0015  -0.0930    0.246
    32  -0.2948   0.1518   0.0022   0.0583   0.0314   0.3848   0.3840   0.0069   0.0000   0.0014  -0.0943    0.246
    33  -0.2801   0.1529   0.0023   0.0595   0.0314   0.3896   0.3891   0.0070   0.0000   0.0014  -0.0957    0.246
    34  -0.2651   0.1538   0.0023   0.0607   0.0315   0.3946   0.3943   0.0071   0.0000   0.0014  -0.0971    0.246
    35  -0.2499   0.1545   0.0024   0.0618   0.0316   0.3998   0.3996   0.0072   0.0000   0.0014  -0.0985    0.247
    36  -0.2344   0.1550   0.0024   0.0628   0.0317   0.4052   0.4051   0.0073   0.0000   0.0014  -0.0999    0.247
    37  -0.2186   0.1553   0.0025   0.0638   0.0317   0.4107   0.4106   0.0074   0.0000   0.0014  -0.1013    0.247
    38  -0.2027   0.1554   0.0025   0.0647   0.0318   0.4162   0.4162   0.0075   0.0000   0.0014  -0.1027    0.247
    39  -0.1865   0.1553   0.0025   0.0655   0.0319   0.4220   0.4219   0.0075   0.0000   0.0014  -0.1041    0.247
    40  -0.1702   0.1551   0.0026   0.0663   0.0320   0.4278   0.4277   0.0076   0.0000   0.0014  -0.1055    0.247
    41  -0.1536   0.1547   0.0026   0.0671   0.0321   0.4336   0.4335   0.0077   0.0000   0.0014  -0.1070    0.247
    42  -0.1370   0.1542   0.0026   0.0677   0.0322   0.4396   0.4394   0.0077   0.0000   0.0014  -0.1084    0.247
    43  -0.1201   0.1535   0.0026   0.0683   0.0324   0.4455   0.4452   0.0077   0.0000   0.0015  -0.1097    0.247
    44  -0.1032   0.1527   0.0026   0.0689   0.0326   0.4515   0.4511   0.0077   0.0000   0.0016  -0.1111    0.246
    45  -0.0862   0.1517   0.0026   0.0693   0.0328   0.4574   0.4569   0.0077   0.0000   0.0017  -0.1124    0.246
    46  -0.0690   0.1507   0.0026   0.0697   0.0330   0.4632   0.4626   0.0077   0.0000   0.0019  -0.1136    0.246
    47  -0.0518   0.1496   0.0026   0.0700   0.0332   0.4688   0.4682   0.0075   0.0000   0.0022  -0.1147    0.245
    48  -0.0346   0.1484   0.0026   0.0703   0.0336   0.4743   0.4735   0.0073   0.0000   0.0026  -0.1156    0.244
    49  -0.0173   0.1472   0.0025   0.0704   0.0339   0.4792   0.4785   0.0066   0.0000   0.0032  -0.1162    0.243
    50  -0.0043   0.1466   0.0013   0.0705   0.0340   0.4808   0.4808   0.0059   0.0000   0.0036  -0.1166    0.243
    51   0.0043   0.1466   0.0013   0.0705   0.0340   0.4808   0.4808   0.0059   0.0000   0.0036  -0.1166    0.243
    52   0.0173   0.1472   0.0025   0.0704   0.0339   0.4792   0.4785   0.0066   0.0000   0.0032  -0.1162    0.243
    53   0.0346   0.1484   0.0026   0.0703   0.0336   0.4743   0.4735   0.0073   0.0000   0.0026  -0.1156    0.244
    54   0.0518   0.1496   0.0026   0.0700   0.0332   0.4688   0.4682   0.0075   0.0000   0.0022  -0.1147    0.245
    55   0.0690   0.1507   0.0026   0.0697   0.0330   0.4632   0.4626   0.0077   0.0000   0.0019  -0.1136    0.246
    56   0.0862   0.1517   0.0026   0.0693   0.0327   0.4574   0.4569   0.0077   0.0000   0.0017  -0.1124    0.246
    57   0.1032   0.1527   0.0026   0.0689   0.0326   0.4515   0.4511   0.0077   0.0000   0.0016  -0.1111    0.246
    58   0.1201   0.1535   0.0026   0.0683   0.0324   0.4455   0.4452   0.0077   0.0000   0.0015  -0.1097    0.247
    59   0.1370   0.1542   0.0026   0.0677   0.0322   0.4396   0.4394   0.0077   0.0000   0.0014  -0.1084    0.247
    60   0.1536   0.1547   0.0026   0.0671   0.0321   0.4336   0.4335   0.0077   0.0000   0.0014  -0.1070    0.247
    61   0.1702   0.1551   0.0026   0.0663   0.0320   0.4278   0.4277   0.0076   0.0000   0.0014  -0.1055    0.247
    62   0.1865   0.1553   0.0025   0.0655   0.0319   0.4220   0.4219   0.0075   0.0000   0.0014  -0.1041    0.247
    63   0.2027   0.1554   0.0025   0.0647   0.0318   0.4162   0.4162   0.0075   0.0000   0.0014  -0.1027    0.247
    64   0.2186   0.1553   0.0025   0.0638   0.0317   0.4107   0.4106   0.0074   0.0000   0.0014  -0.1013    0.247
    65   0.2344   0.1550   0.0024   0.0628   0.0317   0.4052   0.4051   0.0073   0.0000   0.0014  -0.0999    0.247
    66   0.2499   0.1545   0.0024   0.0618   0.0316   0.3998   0.3996   0.0072   0.0000   0.0014  -0.0985    0.247
    67   0.2651   0.1538   0.0023   0.0607   0.0315   0.3946   0.3943   0.0071   0.0000   0.0014  -0.0971    0.246
    68   0.2801   0.1529   0.0023   0.0595   0.0314   0.3896   0.3891   0.0070   0.0000   0.0014  -0.0957    0.246
    69   0.2948   0.1518   0.0022   0.0583   0.0314   0.3848   0.3840   0.0069   0.0000   0.0014  -0.0943    0.246
    70   0.3092   0.1505   0.0021   0.0570   0.0313   0.3802   0.3790   0.0068   0.0000   0.0015  -0.0930    0.246
    71   0.3233   0.1489   0.0021   0.0557   0.0312   0.3758   0.3741   0.0066   0.0000   0.0015  -0.0916    0.246
    72   0.3371   0.1471   0.0020   0.0543   0.0312   0.3717   0.3694   0.0065   0.0000   0.0016  -0.0902    0.246
    73   0.3505   0.1450   0.0019   0.0529   0.0311   0.3678   0.3648   0.0064   0.0000   0.0016  -0.0888    0.246
    74   0.3636   0.1427   0.0018   0.0514   0.0311   0.3643   0.3604   0.0062   0.0000   0.0017  -0.0874    0.245
    75   0.3763   0.1402   0.0018   0.0499   0.0310   0.3610   0.3561   0.0061   0.0000   0.0018  -0.0860    0.245
    76   0.3887   0.1374   0.0017   0.0483   0.0310   0.3581   0.3519   0.0059   0.0000   0.0018  -0.0846    0.245
    77   0.4006   0.1343   0.0016   0.0467   0.0309   0.3556   0.3479   0.0057   0.0000   0.0019  -0.0831    0.244
    78   0.4121   0.1310   0.0015   0.0451   0.0309   0.3536   0.3440   0.0055   0.0000   0.0020  -0.0816    0.244
    79   0.4233   0.1274   0.0014   0.0434   0.0308   0.3520   0.3403   0.0053   0.0000   0.0021  -0.0801    0.244
    80   0.4340   0.1236   0.0013   0.0416   0.0308   0.3512   0.3367   0.0050   0.0000   0.0022  -0.0785    0.243
    81   0.4442   0.1196   0.0012   0.0399   0.0308   0.3509   0.3333   0.0047   0.0000   0.0024  -0.0768    0.243
    82   0.4540   0.1153   0.0011   0.0380   0.0307   0.3515   0.3300   0.0044   0.0000   0.0025  -0.0750    0.242
    83   0.4634   0.1107   0.0010   0.0362   0.0307   0.3530   0.3269   0.0040   0.0000   0.0027  -0.0731    0.242
    84   0.4723   0.1059   0.0009   0.0343   0.0307   0.3555   0.3239   0.0036   0.0000   0.0029  -0.0711    0.241
    85   0.4807   0.1009   0.0008   0.0324   0.0307   0.3597   0.3210   0.0031   0.0000   0.0032  -0.0689    0.240
    86   0.4886   0.0956   0.0007   0.0304   0.0307   0.3648   0.3183   0.0025   0.0000   0.0034  -0.0666    0.239
    87   0.4961   0.0902   0.0006   0.0285   0.0307   0.3732   0.3157   0.0019   0.0000   0.0037  -0.0639    0.238
    88   0.5030   0.0845   0.0006   0.0265   0.0307   0.3838   0.3132   0.0010   0.0000   0.0041  -0.0611    0.237
    89   0.5094   0.0787   0.0005   0.0245   0.0307   0.3976   0.3108   0.0001   0.0000   0.0045  -0.0580    0.235
    90   0.5154   0.0727   0.0004   0.0224   0.0307   0.4174   0.3084  -0.0011   0.0000   0.0051  -0.0546    0.234
    91   0.5208   0.0665   0.0003   0.0203   0.0306   0.4434   0.3059  -0.0026   0.0000   0.0057  -0.0507    0.231
    92   0.5256   0.0602   0.0003   0.0182   0.0308   0.4791   0.3034  -0.0045   0.0000   0.0065  -0.0465    0.229
    93   0.5300   0.0537   0.0002   0.0161   0.0309   0.5305   0.3006  -0.0069   0.0000   0.0075  -0.0419    0.225
    94   0.5338   0.0472   0.0002   0.0140   0.0309   0.6040   0.2972  -0.0101   0.0000   0.0088  -0.0367    0.220
    95   0.5371   0.0406   0.0001   0.0119   0.0309   0.7159   0.2927  -0.0145   0.0000   0.0106  -0.0311    0.214
    96   0.5398   0.0341   0.0001   0.0097   0.0309   0.8885   0.2859  -0.0205   0.0000   0.0131  -0.0250    0.204
    97   0.5420   0.0276   0.0001   0.0076   0.0307   1.1838   0.2746  -0.0296   0.0000   0.0167  -0.0184    0.189
    98   0.5436   0.0216   0.0000   0.0054   0.0303   1.5754   0.2516  -0.0425   0.0000   0.0214  -0.0119    0.165
    99   0.5447   0.0162   0.0000   0.0033   0.0296   2.2369   0.2008  -0.0615   0.0000   0.0247  -0.0054    0.127
   100   0.5453   0.0131   0.0000   0.0011   0.0297   0.8994   0.0836  -0.0499   0.0000   0.0146  -0.0013    0.075
 ---------------------------------------------------------------
