 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148949       Ave. chord =    0.136563
     CLsurf  =   0.20000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.11775
     CDsurf  =   0.00159     Cnsurf  =   0.00000
     CDisurf =   0.00159     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.20007     CDsurf  =   0.00159
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44  -0.1032   0.1527   0.0026   0.0362   0.0187   0.2373   0.2372   0.0023   0.0000   0.0010  -0.0581    0.246
    45  -0.0862   0.1517   0.0026   0.0366   0.0192   0.2415   0.2412   0.0024   0.0000   0.0012  -0.0590    0.245
    46  -0.0690   0.1507   0.0026   0.0369   0.0196   0.2455   0.2452   0.0024   0.0000   0.0013  -0.0599    0.245
    47  -0.0518   0.1496   0.0026   0.0372   0.0201   0.2493   0.2490   0.0024   0.0000   0.0015  -0.0606    0.244
    48  -0.0346   0.1484   0.0026   0.0374   0.0206   0.2528   0.2524   0.0024   0.0000   0.0018  -0.0612    0.243
    49  -0.0173   0.1472   0.0025   0.0376   0.0211   0.2559   0.2555   0.0023   0.0000   0.0021  -0.0616    0.242
    50  -0.0043   0.1466   0.0013   0.0376   0.0213   0.2569   0.2569   0.0021   0.0000   0.0023  -0.0618    0.241
    51   0.0043   0.1466   0.0013   0.0376   0.0213   0.2569   0.2569   0.0021   0.0000   0.0023  -0.0618    0.241
    52   0.0173   0.1472   0.0025   0.0376   0.0211   0.2559   0.2555   0.0023   0.0000   0.0021  -0.0616    0.242
    53   0.0346   0.1484   0.0026   0.0374   0.0206   0.2528   0.2524   0.0024   0.0000   0.0018  -0.0612    0.243
    54   0.0518   0.1496   0.0026   0.0372   0.0201   0.2493   0.2490   0.0024   0.0000   0.0015  -0.0606    0.244
    55   0.0690   0.1507   0.0026   0.0369   0.0196   0.2455   0.2452   0.0024   0.0000   0.0013  -0.0599    0.245
    56   0.0862   0.1517   0.0026   0.0366   0.0192   0.2415   0.2412   0.0024   0.0000   0.0012  -0.0590    0.245
    57   0.1032   0.1527   0.0026   0.0362   0.0187   0.2373   0.2372   0.0023   0.0000   0.0010  -0.0581    0.246
    58   0.1201   0.1535   0.0026   0.0357   0.0183   0.2331   0.2330   0.0023   0.0000   0.0010  -0.0572    0.246
    59   0.1370   0.1542   0.0026   0.0352   0.0179   0.2289   0.2288   0.0022   0.0000   0.0009  -0.0562    0.246
    60   0.1536   0.1547   0.0026   0.0347   0.0175   0.2246   0.2245   0.0022   0.0000   0.0008  -0.0552    0.246
    61   0.1702   0.1551   0.0026   0.0341   0.0171   0.2203   0.2203   0.0021   0.0000   0.0008  -0.0542    0.246
    62   0.1865   0.1553   0.0025   0.0335   0.0168   0.2161   0.2161   0.0020   0.0000   0.0007  -0.0532    0.247
    63   0.2027   0.1554   0.0025   0.0329   0.0164   0.2119   0.2119   0.0019   0.0000   0.0007  -0.0522    0.247
    64   0.2186   0.1553   0.0025   0.0322   0.0161   0.2078   0.2078   0.0019   0.0000   0.0007  -0.0512    0.247
    65   0.2344   0.1550   0.0024   0.0315   0.0157   0.2038   0.2037   0.0018   0.0000   0.0007  -0.0502    0.247
    66   0.2499   0.1545   0.0024   0.0308   0.0154   0.1998   0.1997   0.0017   0.0000   0.0007  -0.0492    0.247
    67   0.2651   0.1538   0.0023   0.0301   0.0151   0.1960   0.1958   0.0017   0.0000   0.0006  -0.0482    0.247
    68   0.2801   0.1529   0.0023   0.0293   0.0148   0.1923   0.1920   0.0016   0.0000   0.0006  -0.0472    0.247
    69   0.2948   0.1518   0.0022   0.0285   0.0144   0.1887   0.1882   0.0015   0.0000   0.0006  -0.0463    0.247
    70   0.3092   0.1505   0.0021   0.0277   0.0141   0.1852   0.1846   0.0015   0.0000   0.0006  -0.0453    0.247
    71   0.3233   0.1489   0.0021   0.0269   0.0138   0.1819   0.1810   0.0014   0.0000   0.0006  -0.0444    0.247
