 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148910       Ave. chord =    0.136733
     CLsurf  =   0.20000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.11774
     CDsurf  =   0.00159     Cnsurf  =   0.00000
     CDisurf =   0.00159     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.20012     CDsurf  =   0.00160
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.5445   0.0202   0.0000   0.0005   0.0110   0.1111   0.0234  -0.0051   0.0000   0.0039  -0.0007    0.082
     2  -0.5439   0.0222   0.0000   0.0014   0.0107   0.3172   0.0639  -0.0071   0.0000   0.0090  -0.0023    0.109
     3  -0.5428   0.0262   0.0000   0.0024   0.0106   0.4463   0.0903  -0.0064   0.0000   0.0095  -0.0043    0.144
     4  -0.5412   0.0314   0.0001   0.0033   0.0106   0.3577   0.1054  -0.0048   0.0000   0.0083  -0.0073    0.171
     5  -0.5390   0.0371   0.0001   0.0043   0.0105   0.3173   0.1147  -0.0037   0.0000   0.0068  -0.0101    0.191
     6  -0.5363   0.0431   0.0001   0.0052   0.0104   0.2734   0.1205  -0.0027   0.0000   0.0055  -0.0128    0.204
     7  -0.5330   0.0493   0.0002   0.0061   0.0104   0.2413   0.1244  -0.0020   0.0000   0.0045  -0.0154    0.214
     8  -0.5292   0.0556   0.0002   0.0071   0.0103   0.2157   0.1273  -0.0015   0.0000   0.0037  -0.0179    0.221
     9  -0.5248   0.0617   0.0003   0.0080   0.0103   0.2004   0.1297  -0.0011   0.0000   0.0031  -0.0200    0.226
    10  -0.5200   0.0679   0.0003   0.0089   0.0103   0.1874   0.1318  -0.0008   0.0000   0.0026  -0.0220    0.230
    11  -0.5146   0.0739   0.0004   0.0099   0.0103   0.1785   0.1337  -0.0005   0.0000   0.0023  -0.0238    0.233
    12  -0.5087   0.0797   0.0005   0.0108   0.0103   0.1718   0.1355  -0.0003   0.0000   0.0020  -0.0255    0.235
    13  -0.5022   0.0854   0.0006   0.0117   0.0104   0.1670   0.1374  -0.0001   0.0000   0.0018  -0.0270    0.237
    14  -0.4953   0.0910   0.0007   0.0127   0.0105   0.1636   0.1392   0.0001   0.0000   0.0016  -0.0284    0.239
    15  -0.4879   0.0963   0.0007   0.0136   0.0106   0.1613   0.1411   0.0002   0.0000   0.0014  -0.0297    0.240
    16  -0.4800   0.1015   0.0008   0.0145   0.0107   0.1596   0.1431   0.0003   0.0000   0.0013  -0.0309    0.241
    17  -0.4716   0.1065   0.0009   0.0154   0.0109   0.1589   0.1451   0.0005   0.0000   0.0012  -0.0320    0.242
    18  -0.4627   0.1112   0.0010   0.0164   0.0111   0.1586   0.1473   0.0006   0.0000   0.0011  -0.0331    0.243
    19  -0.4534   0.1157   0.0011   0.0173   0.0112   0.1590   0.1495   0.0006   0.0000   0.0010  -0.0341    0.243
    20  -0.4436   0.1199   0.0012   0.0182   0.0114   0.1596   0.1518   0.0007   0.0000   0.0009  -0.0351    0.244
    21  -0.4333   0.1239   0.0013   0.0191   0.0116   0.1608   0.1543   0.0008   0.0000   0.0009  -0.0361    0.244
    22  -0.4226   0.1277   0.0014   0.0200   0.0118   0.1621   0.1568   0.0009   0.0000   0.0008  -0.0371    0.245
    23  -0.4115   0.1312   0.0015   0.0209   0.0121   0.1639   0.1595   0.0010   0.0000   0.0008  -0.0380    0.245
    24  -0.4000   0.1345   0.0016   0.0218   0.0123   0.1659   0.1623   0.0010   0.0000   0.0007  -0.0389    0.245
    25  -0.3881   0.1375   0.0017   0.0227   0.0125   0.1680   0.1652   0.0011   0.0000   0.0007  -0.0398    0.246
    26  -0.3758   0.1403   0.0018   0.0236   0.0128   0.1705   0.1682   0.0012   0.0000   0.0007  -0.0407    0.246
    27  -0.3631   0.1428   0.0018   0.0244   0.0131   0.1731   0.1713   0.0012   0.0000   0.0007  -0.0417    0.246
    28  -0.3500   0.1450   0.0019   0.0253   0.0133   0.1760   0.1746   0.0013   0.0000   0.0007  -0.0426    0.246
    29  -0.3366   0.1471   0.0020   0.0261   0.0136   0.1790   0.1779   0.0014   0.0000   0.0006  -0.0435    0.246
    30  -0.3229   0.1489   0.0021   0.0270   0.0139   0.1822   0.1814   0.0014   0.0000   0.0006  -0.0445    0.246
    31  -0.3088   0.1504   0.0021   0.0278   0.0142   0.1855   0.1849   0.0015   0.0000   0.0006  -0.0454    0.247
    32  -0.2944   0.1518   0.0022   0.0286   0.0145   0.1890   0.1886   0.0016   0.0000   0.0006  -0.0464    0.247
    33  -0.2797   0.1529   0.0023   0.0294   0.0148   0.1926   0.1923   0.0016   0.0000   0.0006  -0.0473    0.247
    34  -0.2647   0.1537   0.0023   0.0301   0.0151   0.1963   0.1961   0.0017   0.0000   0.0006  -0.0483    0.247
    35  -0.2495   0.1544   0.0024   0.0309   0.0154   0.2002   0.2001   0.0018   0.0000   0.0007  -0.0493    0.247
    36  -0.2340   0.1549   0.0024   0.0316   0.0158   0.2041   0.2041   0.0018   0.0000   0.0007  -0.0503    0.247
