 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148910       Ave. chord =    0.136733
     CLsurf  =   1.10000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.63902
     CDsurf  =   0.04761     Cnsurf  =   0.00000
     CDisurf =   0.04761     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.10066     CDsurf  =   0.04764
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44  -0.1031   0.1525   0.0026   0.1823   0.0814   1.2024   1.2015   0.0513   0.0000   0.0035  -0.2950    0.247
    45  -0.0860   0.1516   0.0026   0.1829   0.0807   1.2147   1.2135   0.0503   0.0000   0.0038  -0.2976    0.247
    46  -0.0689   0.1506   0.0026   0.1835   0.0801   1.2272   1.2257   0.0489   0.0000   0.0041  -0.3002    0.247
    47  -0.0518   0.1494   0.0026   0.1839   0.0796   1.2396   1.2380   0.0470   0.0000   0.0047  -0.3025    0.246
    48  -0.0345   0.1483   0.0026   0.1842   0.0792   1.2520   1.2502   0.0442   0.0000   0.0056  -0.3044    0.245
    49  -0.0173   0.1471   0.0025   0.1843   0.0789   1.2644   1.2625   0.0388   0.0000   0.0071  -0.3058    0.244
    50  -0.0043   0.1464   0.0013   0.1844   0.0788   1.2689   1.2689   0.0336   0.0000   0.0080  -0.3067    0.244
    51   0.0043   0.1464   0.0013   0.1844   0.0788   1.2689   1.2689   0.0336   0.0000   0.0080  -0.3067    0.244
    52   0.0173   0.1471   0.0025   0.1843   0.0789   1.2644   1.2625   0.0388   0.0000   0.0071  -0.3058    0.244
    53   0.0345   0.1483   0.0026   0.1842   0.0792   1.2520   1.2502   0.0442   0.0000   0.0056  -0.3044    0.245
    54   0.0518   0.1494   0.0026   0.1839   0.0796   1.2396   1.2380   0.0471   0.0000   0.0047  -0.3025    0.246
    55   0.0689   0.1506   0.0026   0.1835   0.0801   1.2271   1.2257   0.0489   0.0000   0.0041  -0.3002    0.247
    56   0.0860   0.1516   0.0026   0.1829   0.0807   1.2147   1.2135   0.0502   0.0000   0.0038  -0.2976    0.247
    57   0.1031   0.1525   0.0026   0.1823   0.0814   1.2024   1.2015   0.0514   0.0000   0.0036  -0.2950    0.247
    58   0.1200   0.1533   0.0026   0.1814   0.0821   1.1903   1.1895   0.0522   0.0000   0.0034  -0.2922    0.247
    59   0.1368   0.1540   0.0026   0.1805   0.0829   1.1782   1.1777   0.0529   0.0000   0.0034  -0.2895    0.247
    60   0.1534   0.1546   0.0026   0.1794   0.0837   1.1664   1.1661   0.0535   0.0000   0.0034  -0.2867    0.247
